// SR4R voice dict file 1/17
// Lines 1-1000 of 16797
// Format: "English": "Chinese translation";

"Maybe later, alright?": "Maybe later, alright?";
"What the fuck... Zinyak trashed my apartment!": "What the fuck... Zinyak trashed my apartment!";
"Whoa whoa whoa, \\\"Fake Shaundi\\\"?": "Whoa whoa whoa, \\\"Fake Shaundi\\\"?";
"Nope.": "Nope.";
"Hold on. We're coming to get you.": "Hold on. We're coming to get you.";
"Hahahaha!": "Hahahaha!";
"We find this especially in the media put out by big business. All the murder simulators peddled to our children. To the music designed to get our young ones to simulate adult acts of a very private--but legally controlled--nature. There are even stores that want to put women in suits!": "We find this especially in the media put out by big business. All the murder simulators peddled to our children. To the music designed to get our young ones to simulate adult acts of a very private--but legally controlled--nature. There are even stores that want to put women in suits!";
"Sounds like there's more going on around the other side.  I'm gonna go check it out.": "Sounds like there's more going on around the other side.  I'm gonna go check it out.";
"No, mademoiselle.": "No, mademoiselle.";
"No more splitting up, we stick together 'till we kill those assholes.": "No more splitting up, we stick together 'till we kill those assholes.";
"You'll probably need to defend yourself for a bit. Here's a gun.": "You'll probably need to defend yourself for a bit. Here's a gun.";
"Ya know Kinzie, rescues go better when you have A FUCKING GUN.": "Ya know Kinzie, rescues go better when you have A FUCKING GUN.";
"CID, why is everything a target?": "CID, why is everything a target?";
"God, I feel sick...": "God, I feel sick...";
"But then I realized Asha would never be able to do this without some help.": "But then I realized Asha would never be able to do this without some help.";
"How long have you really been working on this?": "How long have you really been working on this?";
"Can't wait for the movie, Ben. How can I help?": "Can't wait for the movie, Ben. How can I help?";
"Now let's take our loot and get the hell--": "Now let's take our loot and get the hell--";
"Yes. I apologize for the outburst.": "Yes. I apologize for the outburst.";
"Of course you are...": "Of course you are...";
"The place you're in isn't real. Whatever it's having you do, you need to stop.": "The place you're in isn't real. Whatever it's having you do, you need to stop.";
"Oh yes I CAN stop the signal!": "Oh yes I CAN stop the signal!";
"Well well, Benjamin.  Time for you to die with some dignity.": "Well well, Benjamin.  Time for you to die with some dignity.";
"We need to figure out what the hell is going on...": "We need to figure out what the hell is going on...";
"If CID's rifts are good at disrupting the Zin systems, then I'm fine with you helping CID keep one open.": "If CID's rifts are good at disrupting the Zin systems, then I'm fine with you helping CID keep one open.";
"Ow! My toe!": "Ow! My toe!";
"Ooh, look at you second amendment solutions.": "Ooh, look at you second amendment solutions.";
"Keep shooting at the rear.": "Keep shooting at the rear.";
"That's a lot of Veteran Children.": "That's a lot of Veteran Children.";
"You both sit tight. I'll be back for you.": "You both sit tight. I'll be back for you.";
"Blimey, I remember this lot -- the one I ran with and the ones I buried...": "Blimey, I remember this lot -- the one I ran with and the ones I buried...";
"The intricacies of this code are remarkable.  I definitely need to see more for a complete picture.": "The intricacies of this code are remarkable.  I definitely need to see more for a complete picture.";
"Before that was Steelport. Luchadores, evil hackers, and European assholes in black suits.": "Before that was Steelport. Luchadores, evil hackers, and European assholes in black suits.";
"Get on! Quickly!": "Get on! Quickly!";
"Okay people, once we get there we get this thing unloaded and into the System as fast as we can, got it?": "Okay people, once we get there we get this thing unloaded and into the System as fast as we can, got it?";
"Dammit, get your ass back here!": "Dammit, get your ass back here!";
"Oh man. Am I glad that's over.": "Oh man. Am I glad that's over.";
"With what?": "With what?";
"Hey, I've gotten us this far, haven't I?": "Hey, I've gotten us this far, haven't I?";
"Stop that! Stop that right now!": "Stop that! Stop that right now!";
"That sounds awesome!": "That sounds awesome!";
"Okay. Something big seems to be going on. I'd hurry.": "Okay. Something big seems to be going on. I'd hurry.";
"So another in downtown?": "So another in downtown?";
"Oh god. Come on...": "Oh god. Come on...";
"Sounds easy and fun.  Why not.": "Sounds easy and fun.  Why not.";
"So where to?": "So where to?";
"You blew it up!": "You blew it up!";
"The last one's by the church.": "The last one's by the church.";
"Come out of there you coward.": "Come out of there you coward.";
"Dammit!": "Dammit!";
"As the only living world leader from planet Earth, I hereby assign you all rights, titles, licenses and possible merchandise claims to the NyteBlayde property.": "As the only living world leader from planet Earth, I hereby assign you all rights, titles, licenses and possible merchandise claims to the NyteBlayde property.";
"Intel reports high threat probability at our next stop so we should be prepared for anything.": "Intel reports high threat probability at our next stop so we should be prepared for anything.";
"Appreciate it, CID, but I need to know how to get through his shield.": "Appreciate it, CID, but I need to know how to get through his shield.";
"Pierce?  What the hell, he wouldn't say that.": "Pierce?  What the hell, he wouldn't say that.";
"Perspective? On what?": "Perspective? On what?";
"I don't know why--and I don't want to know--but if CID doesn't stop rubbing up against me and cooing, we're gonna have a problem.": "I don't know why--and I don't want to know--but if CID doesn't stop rubbing up against me and cooing, we're gonna have a problem.";
"What're we waiting for?  Let's hit the next portal.": "What're we waiting for?  Let's hit the next portal.";
"Tell me, Keith!": "Tell me, Keith!";
"Because open auditions are the dream of every dancer.  Preconceived notions of age, race, and training are gone, and all that matters is raw talent and the love of the art.": "Because open auditions are the dream of every dancer.  Preconceived notions of age, race, and training are gone, and all that matters is raw talent and the love of the art.";
"Where'd she go?": "Where'd she go?";
"It's gotta be.  Maybe on the other side of the building.": "It's gotta be.  Maybe on the other side of the building.";
"Cool with me.  My source says this next guy should be loaded with the right product.": "Cool with me.  My source says this next guy should be loaded with the right product.";
"I'm always ready--": "I'm always ready--";
"Sweet!": "Sweet!";
"THANK YOU!  It's nice to have someone jibber jabbing about it being power armor all the time...": "THANK YOU!  It's nice to have someone jibber jabbing about it being power armor all the time...";
"I find it best to not worry too hard about that.": "I find it best to not worry too hard about that.";
"Here ya go.": "Here ya go.";
"Just fuck him and get over yourself, Kinzie.": "Just fuck him and get over yourself, Kinzie.";
"Well, we don't have to worry about that now, right?": "Well, we don't have to worry about that now, right?";
"Why thank you, Miss Press Secretary, that sounds like a perfect idea.": "Why thank you, Miss Press Secretary, that sounds like a perfect idea.";
"Pierce. What the fuck is going here.": "Pierce. What the fuck is going here.";
"Matt and I are at the South Portico. You have to see this!": "Matt and I are at the South Portico. You have to see this!";
"I appreciate your attention to detail, but let's get outta here!": "I appreciate your attention to detail, but let's get outta here!";
"Starting linking sequence now.": "Starting linking sequence now.";
"The only edge I need is already within me.": "The only edge I need is already within me.";
"How much longer, CID?": "How much longer, CID?";
"Uh-huh.": "Uh-huh.";
"Can't handle me yourself, huh?": "Can't handle me yourself, huh?";
"This is the moment where you can prove to be the savior of humanity, or its absolute destroyer.": "This is the moment where you can prove to be the savior of humanity, or its absolute destroyer.";
"Want to add casual sex to that list?": "Want to add casual sex to that list?";
"All right. Let's clear these guards out.": "All right. Let's clear these guards out.";
"Then what'd you have in mind?": "Then what'd you have in mind?";
"Seems Zinyak's getting a little twist in his shorts.": "Seems Zinyak's getting a little twist in his shorts.";
"DELETE": "DELETE";
"Take a guess, Kinzie.": "Take a guess, Kinzie.";
"Keep an eye out for more Zin. They're on the offensive now.": "Keep an eye out for more Zin. They're on the offensive now.";
"I knew the Saints wouldn't believe me when I came to them for help.  Oleg hated me for turning him into a science fair project, Zimos was still grumpy about the pony cart thing, Pierce never bothered to learn my name, and Shaundi was a vindictive bitch.  It didn't matter though--the boss understood a thing or two about revenge.": "I knew the Saints wouldn't believe me when I came to them for help.  Oleg hated me for turning him into a science fair project, Zimos was still grumpy about the pony cart thing, Pierce never bothered to learn my name, and Shaundi was a vindictive bitch.  It didn't matter though--the boss understood a thing or two about revenge.";
"Hold on, you don't know?": "Hold on, you don't know?";
"Muuuch better.": "Muuuch better.";
"Okay, I am here--and they have a gimp...": "Okay, I am here--and they have a gimp...";
"Come on. Come on.": "Come on. Come on.";
"The boss was a lot more hardcore back in the day.  Managed to pull the Saints back from the grave. Didn't take any shit from anyone. Especially the Brotherhood, the Ronin or the Sons of Samedi.  Hell, anyone that got in the way lost everything they had, not just their life.  Still, it's too bad what happened to Carlos though.  He was a good kid.": "The boss was a lot more hardcore back in the day.  Managed to pull the Saints back from the grave. Didn't take any shit from anyone. Especially the Brotherhood, the Ronin or the Sons of Samedi.  Hell, anyone that got in the way lost everything they had, not just their life.  Still, it's too bad what happened to Carlos though.  He was a good kid.";
"Just say what you want, CID...": "Just say what you want, CID...";
"Things are finally looking up!": "Things are finally looking up!";
"DELETE": "DELETE";
"*sigh* So where is he?": "*sigh* So where is he?";
"Uh, okay. Now the Cyprian Order hunt NyteBlayde too?": "Uh, okay. Now the Cyprian Order hunt NyteBlayde too?";
"That's what I figured.": "That's what I figured.";
"Yeah, they've really improved over the years.": "Yeah, they've really improved over the years.";
"Asha, that light has a family...": "Asha, that light has a family...";
"Oh Jesus.": "Oh Jesus.";
"Keith, listen to me!": "Keith, listen to me!";
"So tell me what is this about.": "So tell me what is this about.";
"You changed so much.": "You changed so much.";
"Lord Almighty, look at the size of that thing--!": "Lord Almighty, look at the size of that thing--!";
"Well, I suppose it's Pierce's turn.": "Well, I suppose it's Pierce's turn.";
"I'm the goddamned President.": "I'm the goddamned President.";
"FINALLY!": "FINALLY!";
"Been thinkin' about a name for this ship we got.  Since you were using my sister Angela's likeness for your statue back on earth, call it the Saint of Saints.  Would be a good tribute to her.": "Been thinkin' about a name for this ship we got.  Since you were using my sister Angela's likeness for your statue back on earth, call it the Saint of Saints.  Would be a good tribute to her.";
"Great.": "Great.";
"Will taking out the vehicle mess up the thing on board?": "Will taking out the vehicle mess up the thing on board?";
"Shaundi, what about you?": "Shaundi, what about you?";
"I want to feel you in my hands...": "I want to feel you in my hands...";
"Maaaatt...": "Maaaatt...";
"You're both failures. An MI6 agent trying to amend for making one mistake after another, and an aimless sociopath who poisons everything they touch.": "You're both failures. An MI6 agent trying to amend for making one mistake after another, and an aimless sociopath who poisons everything they touch.";
"Anthony's dead.  The Vice Kings are through.": "Anthony's dead.  The Vice Kings are through.";
"Heh. Neither am I.": "Heh. Neither am I.";
"Let's roll up on cancer and leave it bleeding in the street.": "Let's roll up on cancer and leave it bleeding in the street.";
"You'll see me differently...": "You'll see me differently...";
"What do you have in mind?": "What do you have in mind?";
"Kinzie, I just had a horrible thought.  What if this portal starts pouring out the people from that godforsaken town I was trapped in?": "Kinzie, I just had a horrible thought.  What if this portal starts pouring out the people from that godforsaken town I was trapped in?";
"Way to go Kinzie!": "Way to go Kinzie!";
"Have to admit, didn't think much of the boss when they first joined the crew. Thought there was no way they were gonna make it through being canonized, let alone be any help takin' over Stilwater. Hell, they didn't even talk back then. But after that shit with the Vice Kings, I knew we found ourselves one hell of a Saint. There's nothing the boss can't do.": "Have to admit, didn't think much of the boss when they first joined the crew. Thought there was no way they were gonna make it through being canonized, let alone be any help takin' over Stilwater. Hell, they didn't even talk back then. But after that shit with the Vice Kings, I knew we found ourselves one hell of a Saint. There's nothing the boss can't do.";
"Good point. So what's up?": "Good point. So what's up?";
"Done, Kinzie.": "Done, Kinzie.";
"You. Are so. Fucking. Dead.": "You. Are so. Fucking. Dead.";
"Let's not forget saving hackers from a fate worse than bobby socks.": "Let's not forget saving hackers from a fate worse than bobby socks.";
"DO NOT fuck with my statue!": "DO NOT fuck with my statue!";
"Not a good sign if she's hangin' around.": "Not a good sign if she's hangin' around.";
"Crikey, he's losing it!": "Crikey, he's losing it!";
"It seems in retaliation for your pissing all over his nice clean prison, Zinyak is flooding the simulation with hostile gangs from another simulation.": "It seems in retaliation for your pissing all over his nice clean prison, Zinyak is flooding the simulation with hostile gangs from another simulation.";
"I have been watching you.": "I have been watching you.";
"I doubt it'll be that simple.": "I doubt it'll be that simple.";
"Okay, this is crazy-making...": "Okay, this is crazy-making...";
"Aw, fuck me...": "Aw, fuck me...";
"With what?": "With what?";
"We're gonna need a bigger boat...": "We're gonna need a bigger boat...";
"It's a shame being fun isn't one of them.": "It's a shame being fun isn't one of them.";
"I figure once we're free, we need to get this ship to a new hiding spot. Somewhere safe, somewhere...": "I figure once we're free, we need to get this ship to a new hiding spot. Somewhere safe, somewhere...";
"You're wound up way too tight.": "You're wound up way too tight.";
"Why not?": "Why not?";
"Well, allow me to remove it then, yeah?": "Well, allow me to remove it then, yeah?";
"Is Kinzie okay?": "Is Kinzie okay?";
"Matt, if it makes any difference...": "Matt, if it makes any difference...";
"Look, you're my boss. I just can't let that dynamic get ruined.": "Look, you're my boss. I just can't let that dynamic get ruined.";
"Alright, you two with me.  Your turn to shine.": "Alright, you two with me.  Your turn to shine.";
"Then let's not give her that chance.": "Then let's not give her that chance.";
"Fine. I'll go get us a vehicle.": "Fine. I'll go get us a vehicle.";
"Where do these guys think they're running to?": "Where do these guys think they're running to?";
"...no.": "...no.";
"Hold up. An evil twin?": "Hold up. An evil twin?";
"Murderbots? Oh. Wow.": "Murderbots? Oh. Wow.";
"How 'bout a little ladle action.": "How 'bout a little ladle action.";
"No. The brainwashing is too ingrained. I'll have to beat it out of him.": "No. The brainwashing is too ingrained. I'll have to beat it out of him.";
"Kinzie, sweetie, you're too tense. This is gonna be fine.": "Kinzie, sweetie, you're too tense. This is gonna be fine.";
"Come on!": "Come on!";
"So where is this \\\"Army of Minions\\\" at?": "So where is this \\\"Army of Minions\\\" at?";
"How many simulations is Asha having you build?": "How many simulations is Asha having you build?";
"I kill enough of you, I'll just build a ladder back to Earth!": "I kill enough of you, I'll just build a ladder back to Earth!";
"Ben asked me to do the audio version of his book. He does know the Earth is blown up, right?": "Ben asked me to do the audio version of his book. He does know the Earth is blown up, right?";
"The Saints own this simulation. Let's remind the Zin about that fact.": "The Saints own this simulation. Let's remind the Zin about that fact.";
"Johnny, you having fun yet?": "Johnny, you having fun yet?";
"Yep.": "Yep.";
"Oh god...": "Oh god...";
"Just... just go.  You know, back through THE DOORS I CREATED.  Argh!": "Just... just go.  You know, back through THE DOORS I CREATED.  Argh!";
"What?!": "What?!";
"*sigh*  Your funeral...": "*sigh*  Your funeral...";
"The bonus targets are sure taking some hits.": "The bonus targets are sure taking some hits.";
"I know you've done this virus injection before but it's really good character development!": "I know you've done this virus injection before but it's really good character development!";
"Don't go in there, Johnny.": "Don't go in there, Johnny.";
"God, I feel sick...": "God, I feel sick...";
"I jumped on the flashy lights, now can you help me kill Zinyak already?": "I jumped on the flashy lights, now can you help me kill Zinyak already?";
"She's breathing.": "She's breathing.";
"Women are the support system. It is their duty to make sure the needs of our home are met. It falls on them to raise children who are obedient, respect their elders, and are accepting of their future roles in the world.": "Women are the support system. It is their duty to make sure the needs of our home are met. It falls on them to raise children who are obedient, respect their elders, and are accepting of their future roles in the world.";
"Freckle Bitches Get!": "Freckle Bitches Get!";
"You're not going to teach me to play chess, are you?": "You're not going to teach me to play chess, are you?";
"Never doubted you for a second, Shaundi!": "Never doubted you for a second, Shaundi!";
"Well shit...": "Well shit...";
"Don't suppose you got a way to fit this robot through the door, do you?": "Don't suppose you got a way to fit this robot through the door, do you?";
"Matt, get back!": "Matt, get back!";
"Attacked en route to the main villain. Nicely played, Matt. Good escalation of conflict.": "Attacked en route to the main villain. Nicely played, Matt. Good escalation of conflict.";
"Kinzie, be nice. But seriously what the hell?": "Kinzie, be nice. But seriously what the hell?";
"So who set up this race?": "So who set up this race?";
"Yeah...a crazy, murder filled pet store....": "Yeah...a crazy, murder filled pet store....";
"What the hell's he gonna do with a broadcast tower?": "What the hell's he gonna do with a broadcast tower?";
"That must've been nice...": "That must've been nice...";
"I knew Genki couldn't be too far behind.": "I knew Genki couldn't be too far behind.";
"Sure, CID.": "Sure, CID.";
"You're really reaching here...": "You're really reaching here...";
"Is it a good plan?": "Is it a good plan?";
"Both of you in!": "Both of you in!";
"I'm doing most of the work.": "I'm doing most of the work.";
"On it.": "On it.";
"Hold on, look at that gold floating robot thing.  I think it's controlling the security program here.": "Hold on, look at that gold floating robot thing.  I think it's controlling the security program here.";
"It's charged. What next?": "It's charged. What next?";
"I'm not happy, Shaundi...": "I'm not happy, Shaundi...";
"DELETE": "DELETE";
"Thanks for clearing that up Matt.": "Thanks for clearing that up Matt.";
"Well, fuck.  Is anything gonna go right here?": "Well, fuck.  Is anything gonna go right here?";
"HUB?": "HUB?";
"Just keep going, we won't let him get away.": "Just keep going, we won't let him get away.";
"There's gotta be something around here, Kinzie!": "There's gotta be something around here, Kinzie!";
"She's corrupting people with some sort of virus that's turning them all into her sex trade workers.  Matt's figured out how to stop it, and once that's done we need to end Tanya for good.": "She's corrupting people with some sort of virus that's turning them all into her sex trade workers.  Matt's figured out how to stop it, and once that's done we need to end Tanya for good.";
"Chill, girl, I didn't mean nothing by it.": "Chill, girl, I didn't mean nothing by it.";
"Believe me, that's a bad idea.": "Believe me, that's a bad idea.";
"How do you mean?": "How do you mean?";
"You'll need a vantage point. Get to that rooftop across the way over there.": "You'll need a vantage point. Get to that rooftop across the way over there.";
"Who the *beep* are you and how the *beep* did I get here?": "Who the *beep* are you and how the *beep* did I get here?";
"That can't be good.": "That can't be good.";
"That's not my usual style.": "That's not my usual style.";
"Jesus, would you look at the size of that thing?": "Jesus, would you look at the size of that thing?";
"I'm asking now.": "I'm asking now.";
"Shaundi, let me be frank. I am more concerned by what we might confront when Kinzie links up your portal.": "Shaundi, let me be frank. I am more concerned by what we might confront when Kinzie links up your portal.";
"What do you mean, break free?": "What do you mean, break free?";
"Prize room! Nice.": "Prize room! Nice.";
"We're all that's left of humanity now.  That a big fuckin' burden for the Saints.  I know we're going for retribution, but we can't forget all those billions of people we're doin' this for.": "We're all that's left of humanity now.  That a big fuckin' burden for the Saints.  I know we're going for retribution, but we can't forget all those billions of people we're doin' this for.";
"Kinzie doesn't seem to have a problem with it.": "Kinzie doesn't seem to have a problem with it.";
"So what did I get?  Teleportation?  Laser vision?  Bone claws?": "So what did I get?  Teleportation?  Laser vision?  Bone claws?";
"Is everything okay?": "Is everything okay?";
"Shit, man, everything. Look, I'm trying to have a moment here. Don't ruin it. I'm just saying that when you're forced to relive the worst fucking thing in your life a million times, you can't help but feel...different.": "Shit, man, everything. Look, I'm trying to have a moment here. Don't ruin it. I'm just saying that when you're forced to relive the worst fucking thing in your life a million times, you can't help but feel...different.";
"So we doin' this?": "So we doin' this?";
"The hell am I looking at?": "The hell am I looking at?";
"I normally don't swing that way, but fuck it, I'm down.": "I normally don't swing that way, but fuck it, I'm down.";
"Oh, for a second I thought this had to do with him attacking America.": "Oh, for a second I thought this had to do with him attacking America.";
"Mate.": "Mate.";
"Trust me. You'll like it.": "Trust me. You'll like it.";
"Putting me in the Rollerz was a smart move on Julius's part.  We needed the intel, and I was the only tuner in the Saints.  I knew when we staged that rescue at Donnie's shop I was in.  Price owed me one for saving his best friend and didn't doubt me for a second.  I probably should've been more careful about how often I passed the boss information, though...": "Putting me in the Rollerz was a smart move on Julius's part.  We needed the intel, and I was the only tuner in the Saints.  I knew when we staged that rescue at Donnie's shop I was in.  Price owed me one for saving his best friend and didn't doubt me for a second.  I probably should've been more careful about how often I passed the boss information, though...";
"Oh-ho, Zinyak. I hope you're ready for me.": "Oh-ho, Zinyak. I hope you're ready for me.";
"How was I supposed to know that MI6 would end up offering me asylum just so they could pair me up with one of their operatives?  I mean, Asha and I got along great, but now I had to work with the government instead of against it.  Not usually my cup of tea.  Still, I guess it's better than being hunted down by the Saints or Killbane.  I just have to keep myself from pissing off a trained killer is all.": "How was I supposed to know that MI6 would end up offering me asylum just so they could pair me up with one of their operatives?  I mean, Asha and I got along great, but now I had to work with the government instead of against it.  Not usually my cup of tea.  Still, I guess it's better than being hunted down by the Saints or Killbane.  I just have to keep myself from pissing off a trained killer is all.";
"Sure, why not.": "Sure, why not.";
"A bit?": "A bit?";
"Protect me while I disable the protocols.": "Protect me while I disable the protocols.";
"Yeeeeeehaaaaaw!": "Yeeeeeehaaaaaw!";
"Maybe CID...maybe.": "Maybe CID...maybe.";
"Kinzie, where's Pierce?": "Kinzie, where's Pierce?";
"The studio demanded you, Josh. I had nothing to do with it.": "The studio demanded you, Josh. I had nothing to do with it.";
"You're a dead man, Jyunichi!": "You're a dead man, Jyunichi!";
"What the fuck is this place...": "What the fuck is this place...";
"Playa, this is my best work yet. I want to thank you face to face.": "Playa, this is my best work yet. I want to thank you face to face.";
"But there is one more cell not far from here.": "But there is one more cell not far from here.";
"What the fuck is that?": "What the fuck is that?";
"Kinzie's got her job and you've got yours right here.  Thought you two were supposed to be a well oiled machine?": "Kinzie's got her job and you've got yours right here.  Thought you two were supposed to be a well oiled machine?";
"DJ Matt Miller! Yeah, man.": "DJ Matt Miller! Yeah, man.";
"You can trace all these gangs back to him, right? You can find his simulation?": "You can trace all these gangs back to him, right? You can find his simulation?";
"I knew it. That's Gat.": "I knew it. That's Gat.";
"Pierce, you mind explaining to me what's been going on here?": "Pierce, you mind explaining to me what's been going on here?";
"Okay, good point.": "Okay, good point.";
"You're a know it all robot: how do we stop the relays?": "You're a know it all robot: how do we stop the relays?";
"Say again?": "Say again?";
"See you afterwards.": "See you afterwards.";
"Miss Press Secretary, that sounds delightful.": "Miss Press Secretary, that sounds delightful.";
"Goodness me, what a dream.": "Goodness me, what a dream.";
"DELETE": "DELETE";
"Hope we can snap him out of it...he's our only chance to find my friend...": "Hope we can snap him out of it...he's our only chance to find my friend...";
"I know.": "I know.";
"Honestly, I can't find a way to open it up.": "Honestly, I can't find a way to open it up.";
"Let's do this.  Geronimo!": "Let's do this.  Geronimo!";
"We're almost there! Dammit, look at all these fuckin' Ronin! Let's take them out.": "We're almost there! Dammit, look at all these fuckin' Ronin! Let's take them out.";
"Kinzie, I did it!": "Kinzie, I did it!";
"No shit. I want in on that action.": "No shit. I want in on that action.";
"No problem...": "No problem...";
"Any other roadblocks else up ahead, Kinzie?": "Any other roadblocks else up ahead, Kinzie?";
"I'm willing to try, CID, but I'd rather drop that shield entirely.": "I'm willing to try, CID, but I'd rather drop that shield entirely.";
"That's just the way it works around here.": "That's just the way it works around here.";
"Matt, why can't I swear?": "Matt, why can't I swear?";
"Where the hell...": "Where the hell...";
"A gun? Oh. A gun. Yay.": "A gun? Oh. A gun. Yay.";
"Looks like the ability to freeze people and objects with an ice blast.": "Looks like the ability to freeze people and objects with an ice blast.";
"Not gonna lie, Kinzie. You're kinda freaking me out.": "Not gonna lie, Kinzie. You're kinda freaking me out.";
"Alright, I like the sound of that.  What is it you need?": "Alright, I like the sound of that.  What is it you need?";
"Fuckin'-a right I did.": "Fuckin'-a right I did.";
"All set.": "All set.";
"Don't blame the hostage. JUST FIX IT.": "Don't blame the hostage. JUST FIX IT.";
"That CID is a curious one, isn't he?": "That CID is a curious one, isn't he?";
"DELETE": "DELETE";
"No shit.": "No shit.";
"Well. Looks like that's it.": "Well. Looks like that's it.";
"I think I made it.": "I think I made it.";
"We could of just come right for him or--": "We could of just come right for him or--";
"You don't know Kinzie very well, do you?": "You don't know Kinzie very well, do you?";
"Hey. I'm the President of the United States.": "Hey. I'm the President of the United States.";
"These data clusters seem to be loose bits of code left behind by the simulation for some reason.  I've only been able to locate a small amount right now, which I'm having trouble locking on to.  Once in the general area of a cluster I should be able to direct you to its location.": "These data clusters seem to be loose bits of code left behind by the simulation for some reason.  I've only been able to locate a small amount right now, which I'm having trouble locking on to.  Once in the general area of a cluster I should be able to direct you to its location.";
"Feel better?": "Feel better?";
"Listen, Kinzie?  Gat and I are on site, but we're not sure where to begin our search.": "Listen, Kinzie?  Gat and I are on site, but we're not sure where to begin our search.";
"Now that's impressive looking...": "Now that's impressive looking...";
"Whoa, that thing just came out of nowhere.": "Whoa, that thing just came out of nowhere.";
"Think Zinyak's ship's seen better days...": "Think Zinyak's ship's seen better days...";
"This sounds AWESOME!": "This sounds AWESOME!";
"Why is it Zin engineers are so stupid?": "Why is it Zin engineers are so stupid?";
"I'm assuming that's a bad thing?": "I'm assuming that's a bad thing?";
"What's wrong with Keith?": "What's wrong with Keith?";
"What is Pierce's fascination with sing-alongs? He always wants to duet. I don't like it.": "What is Pierce's fascination with sing-alongs? He always wants to duet. I don't like it.";
"Right, what's this Cyprian Order, then?  I'm not the world's biggest NyteBlayde fan.": "Right, what's this Cyprian Order, then?  I'm not the world's biggest NyteBlayde fan.";
"So we got people left on Earth. Good to know.": "So we got people left on Earth. Good to know.";
"Kinzie, we need some place to hide out, come up with a plan.": "Kinzie, we need some place to hide out, come up with a plan.";
"As probably the only surviving world leader from planet Earth, I hereby assign you all rights, titles, licenses and merchandise rights to the NyteBlayde property.": "As probably the only surviving world leader from planet Earth, I hereby assign you all rights, titles, licenses and merchandise rights to the NyteBlayde property.";
"All right, let's see what ol' what's-his-name can do.": "All right, let's see what ol' what's-his-name can do.";
"This would be so much easier if I could throw myself.": "This would be so much easier if I could throw myself.";
"Hmm. Johnny's a lot shorter than I imagined.": "Hmm. Johnny's a lot shorter than I imagined.";
"This should be interesting...": "This should be interesting...";
"Who you callin' \\\"sidekick\\\", lady?": "Who you callin' \\\"sidekick\\\", lady?";
"Kinzie, I just may cry a little.": "Kinzie, I just may cry a little.";
"Who you callin' \\\"sidekick\\\", lady?": "Who you callin' \\\"sidekick\\\", lady?";
"It's explosives and chemicals, lady. What else you need to know?": "It's explosives and chemicals, lady. What else you need to know?";
"Good job, Kinzie.": "Good job, Kinzie.";
"I didn't know much about Asha Odekar before she helped us save the entire damn country, but in the years since, I've come to know her as one of the best soldiers I've ever met. If I'm going to take down Zinyak, I want her in my crew.": "I didn't know much about Asha Odekar before she helped us save the entire damn country, but in the years since, I've come to know her as one of the best soldiers I've ever met. If I'm going to take down Zinyak, I want her in my crew.";
"DELETE": "DELETE";
"I always knew the Saints were ambitious, but I never thought I'd see them end up in the White House.  And when the playa called me saying how they couldn't do it without me, how could I say no.  Thought maybe I was in line for Vice President, but I guess Keith beat me to it.  Still, being the President's Chief of Staff certainly had its perks.  Not bad for a kid from Sunnyvale Gardens.": "I always knew the Saints were ambitious, but I never thought I'd see them end up in the White House.  And when the playa called me saying how they couldn't do it without me, how could I say no.  Thought maybe I was in line for Vice President, but I guess Keith beat me to it.  Still, being the President's Chief of Staff certainly had its perks.  Not bad for a kid from Sunnyvale Gardens.";
"Keep fighting!  I'm here!": "Keep fighting!  I'm here!";
"Oh god...what...woo...": "Oh god...what...woo...";
"Indeed it was, Bobby. Drama, comedy, pathos, and gallons of blood. Everything that makes this sport the sweet science.": "Indeed it was, Bobby. Drama, comedy, pathos, and gallons of blood. Everything that makes this sport the sweet science.";
"Should I look for lights to shoot or is it okay to just kill these guys?": "Should I look for lights to shoot or is it okay to just kill these guys?";
"Overheating! Get to him and cool him down!": "Overheating! Get to him and cool him down!";
"Gat! Let me go in first!": "Gat! Let me go in first!";
"Yeah, I'm with Pierce on this one.": "Yeah, I'm with Pierce on this one.";
"All right, Shaundi, we're hitting one of these deals you mentioned first.": "All right, Shaundi, we're hitting one of these deals you mentioned first.";
"DELETE": "DELETE";
"DELETE": "DELETE";
"Doing great.": "Doing great.";
"We must be close. Keep going!": "We must be close. Keep going!";
"Time's up for you, mate!": "Time's up for you, mate!";
"Fun? What exactly does an MI6 agent think is fun?": "Fun? What exactly does an MI6 agent think is fun?";
"So NyteBlayde fights vampires...AND he fights the Cyprian Order?": "So NyteBlayde fights vampires...AND he fights the Cyprian Order?";
"Murderbots? That's my kind of household appliance.": "Murderbots? That's my kind of household appliance.";
"Goodness me, what a dream.": "Goodness me, what a dream.";
"I was kinda hoping for more of a plan.": "I was kinda hoping for more of a plan.";
"Kinzie's been touchy since she got back. What exactly is an \\\"Ozzie and Harriet\\\" special?": "Kinzie's been touchy since she got back. What exactly is an \\\"Ozzie and Harriet\\\" special?";
"That's a question you should ask yourself, Zinyak.": "That's a question you should ask yourself, Zinyak.";
"Look who's here! My favorite wannabe spy and her BFF.": "Look who's here! My favorite wannabe spy and her BFF.";
"Johnny, I'm telling you--": "Johnny, I'm telling you--";
